S. No.,Degree,Major,GPA,Year of Graduation,Age,Gender,Internships,Previous Job Title,Industry,Skill1,Skill2,SoftSkill,Certification,JobRole,Work Preference
383,B.Sc,Chemistry,8.53,2022.0,41.0,Other,5.0,Assistant,Education,Communication,Communication,Adaptability,AWS Certified,Project Manager,Remote
384,M.Tech,Electronics,5.19,2016.0,23.0,Female,0.0,Assistant,Healthcare,Marketing,Machine Learning,Teamwork,Six Sigma,Researcher,Hybrid
385,PhD,Electronics,6.22,2007.0,25.0,Male,0.0,Analyst,IT,Data Analy,Excel,Communication,CCNA,Researcher,In-office
386,BBA,Computer,5.18,2023.0,24.0,Male,1.0,Consultant,Manufacturing,Communication,Communication,Adaptability,Scrum,Teacher,Remote
387,BBA,Humanities,8.64,2013.0,30.0,Other,4.0,Analyst,Consulting,Marketing,Leadership,Adaptability,Machine Learning,Project Manager,In-office
388,BA,Chemistry,5.85,2012.0,27.0,Male,5.0,Engineer,Manufacturing,Data Analy,Data Analy,Communication,Data Science,Software Engineer,Hybrid
389,M.Sc,Chemistry,5.89,2023.0,36.0,Other,2.0,Intern,Research,Python,Machine Learning,Teamwork,Azure,Teacher,Remote
390,M.Tech,Management,6.09,2009.0,44.0,Other,0.0,Engineer,Education,Communication,Communication,Problem-Solving,Six Sigma,Teacher,In-office
391,B.Sc,Humanities,9.02,2022.0,31.0,Male,4.0,Engineer,Research,Marketing,Java,Leadership,Machine Learning,Software Engineer,In-office
392,BA,Marketing,6.7,2017.0,35.0,Male,2.0,Junior Developer,Finance,Marketing,Machine Learning,Teamwork,AWS Certified,Researcher,Hybrid
393,B.Tech,Physics,9.78,2010.0,33.0,Female,2.0,Engineer,Manufacturing,Excel,SQL,Problem-Solving,Six Sigma,Accountant,Hybrid
394,B.Sc,Computer,7.9,2006.0,39.0,Male,1.0,Assistant,Consulting,Java,Java,Communication,Data Science,HR Manager,In-office
395,BBA,Management,6.71,2016.0,28.0,Male,0.0,Consultant,Healthcare,Leadership,Excel,Problem-Solving,Google Cloud,HR Manager,In-office
396,M.Sc,Physics,8.02,2018.0,42.0,Male,1.0,Engineer,IT,Machine Learning,Marketing,Adaptability,Scrum,Researcher,Hybrid
397,BBA,Electronics,6.16,2016.0,37.0,Female,3.0,Analyst,Education,Leadership,SQL,Problem-Solving,AWS Certified,Accountant,Hybrid
398,MBA,Marketing,9.83,2008.0,41.0,Female,0.0,Junior Developer,Research,Leadership,Leadership,Adaptability,AWS Certified,Mechanical Engineer,Remote
399,B.Tech,Marketing,8.0,2015.0,45.0,Other,0.0,Consultant,IT,Communication,Data Analy,Teamwork,PMP,Accountant,Remote
400,B.Tech,Chemistry,5.92,2015.0,33.0,Female,0.0,Engineer,IT,Leadership,Machine Learning,Communication,CCNA,Software Engineer,In-office
401,MBA,Chemistry,9.01,2023.0,27.0,Other,1.0,Assistant,Education,Data Analy,Communication,Adaptability,CCNA,Software Engineer,Remote
402,PhD,Electronics,5.5,2005.0,35.0,Other,5.0,Consultant,Research,Communication,Data Analy,Problem-Solving,Machine Learning,Researcher,Hybrid
403,PhD,Chemistry,6.73,2015.0,31.0,Male,0.0,Junior Developer,IT,Machine Learning,Leadership,Teamwork,None,Data Analyst,In-office
404,M.Sc,Physics,8.32,2017.0,35.0,Other,5.0,Junior Developer,Education,Python,Data Analy,Adaptability,Scrum,Business Analyst,In-office
405,PhD,Computer,7.56,2020.0,38.0,Female,3.0,Assistant,Research,Data Analy,Data Analy,Communication,Six Sigma,Software Engineer,Remote
406,B.Tech,Marketing,8.91,2007.0,27.0,Female,4.0,Consultant,Research,Machine Learning,Communication,Leadership,Six Sigma,HR Manager,Hybrid
407,B.Tech,Electronics,6.14,2017.0,39.0,Male,2.0,Junior Developer,Education,Marketing,SQL,Problem-Solving,PMP,Teacher,In-office
408,PhD,Physics,7.84,2012.0,32.0,Male,0.0,Assistant,Research,Python,Data Analy,Adaptability,None,Data Analyst,Remote
409,BA,Physics,8.84,2010.0,23.0,Female,4.0,Analyst,Consulting,Excel,Python,Adaptability,CCNA,Project Manager,Remote
410,B.Sc,Humanities,8.85,2017.0,44.0,Other,0.0,Assistant,Manufacturing,Excel,Python,Communication,CCNA,Mechanical Engineer,In-office
411,M.Sc,Computer,5.57,2023.0,36.0,Female,2.0,Analyst,Consulting,Machine Learning,Communication,Teamwork,Machine Learning,HR Manager,In-office
412,B.Com,Electronics,6.19,2007.0,29.0,Other,4.0,Assistant,Education,Data Analy,Communication,Teamwork,PMP,Project Manager,Hybrid
413,MBA,Marketing,7.33,2016.0,37.0,Male,0.0,Consultant,Manufacturing,Leadership,Communication,Leadership,Machine Learning,Business Analyst,Hybrid
414,PhD,Electronics,5.62,2018.0,40.0,Female,5.0,Assistant,IT,Leadership,Marketing,Communication,Data Science,Teacher,In-office
415,MBA,Mathematics,5.84,2010.0,25.0,Female,2.0,Intern,Consulting,Marketing,Machine Learning,Teamwork,AWS Certified,Data Analyst,Remote
416,B.Tech,Physics,5.89,2010.0,31.0,Other,3.0,Assistant,Finance,Data Analy,Java,Leadership,Machine Learning,Mechanical Engineer,Remote
417,PhD,Computer,6.51,2020.0,30.0,Other,0.0,Engineer,Consulting,Leadership,Leadership,Teamwork,CCNA,Mechanical Engineer,Hybrid
418,B.Tech,Mathematics,6.67,2018.0,24.0,Female,5.0,Consultant,Research,Java,Excel,Communication,CCNA,Teacher,Remote
419,PhD,Management,8.75,2008.0,40.0,Other,0.0,Consultant,Research,Leadership,SQL,Communication,PMP,HR Manager,Hybrid
420,BBA,Computer,5.5,2005.0,38.0,Female,0.0,Analyst,Manufacturing,Python,Machine Learning,Teamwork,Google Cloud,Data Analyst,Hybrid
421,B.Sc,Humanities,9.66,2016.0,33.0,Female,3.0,Analyst,Finance,Communication,Excel,Teamwork,AWS Certified,Software Engineer,In-office
422,B.Tech,Management,5.23,2015.0,23.0,Male,1.0,Consultant,Education,Excel,Leadership,Leadership,Machine Learning,Mechanical Engineer,In-office
423,B.Sc,Mathematics,9.35,2012.0,39.0,Other,2.0,Assistant,Research,SQL,SQL,Communication,AWS Certified,Mechanical Engineer,Remote
424,MBA,Mathematics,6.4,2024.0,43.0,Male,1.0,Junior Developer,IT,Machine Learning,Marketing,Communication,Azure,Teacher,In-office
425,BA,Management,9.4,2019.0,45.0,Female,3.0,Engineer,Research,Excel,Excel,Adaptability,AWS Certified,Business Analyst,Hybrid
426,M.Tech,Physics,9.52,2017.0,44.0,Female,0.0,Engineer,Education,Python,Leadership,Communication,PMP,Mechanical Engineer,Hybrid
427,B.Tech,Marketing,7.97,2006.0,35.0,Other,1.0,Consultant,IT,Python,Communication,Teamwork,Google Cloud,Mechanical Engineer,In-office
428,M.Sc,Management,9.45,2005.0,44.0,Male,5.0,Junior Developer,Manufacturing,Data Analy,Java,Problem-Solving,Google Cloud,Software Engineer,In-office
429,BA,Physics,6.88,2016.0,25.0,Male,4.0,Analyst,Healthcare,Communication,Excel,Leadership,AWS Certified,Project Manager,Hybrid
430,BBA,Humanities,7.6,2024.0,43.0,Female,3.0,Junior Developer,Consulting,Marketing,Python,Adaptability,CCNA,Accountant,In-office
431,B.Com,Management,9.79,2006.0,33.0,Female,1.0,Assistant,Consulting,Excel,Java,Communication,Data Science,Teacher,Hybrid
432,B.Tech,Management,7.76,2012.0,30.0,Male,1.0,Intern,Research,Java,Python,Teamwork,AWS Certified,Business Analyst,Hybrid
433,PhD,Management,8.37,2014.0,33.0,Other,0.0,Engineer,Education,Machine Learning,Machine Learning,Problem-Solving,Google Cloud,Data Analyst,Hybrid
434,M.Tech,Computer,8.61,2012.0,40.0,Male,5.0,Consultant,Manufacturing,Marketing,Leadership,Adaptability,Azure,Teacher,Remote
435,MBA,Electronics,9.65,2023.0,22.0,Male,1.0,Engineer,Research,Marketing,Leadership,Communication,Data Science,Software Engineer,Remote
436,B.Tech,Chemistry,5.2,2017.0,43.0,Female,0.0,Consultant,Research,Machine Learning,Machine Learning,Leadership,Azure,HR Manager,Hybrid
437,M.Sc,Mathematics,5.05,2023.0,31.0,Female,3.0,Analyst,Manufacturing,Leadership,Excel,Problem-Solving,Data Science,Business Analyst,Hybrid
438,PhD,Electronics,6.08,2007.0,29.0,Other,3.0,Assistant,IT,Python,Communication,Adaptability,Machine Learning,HR Manager,Hybrid
439,M.Sc,Chemistry,8.45,2008.0,27.0,Other,5.0,Junior Developer,Education,Leadership,Data Analy,Leadership,AWS Certified,Mechanical Engineer,In-office
440,M.Tech,Mathematics,5.25,2011.0,26.0,Female,0.0,Intern,Education,SQL,Excel,Problem-Solving,Machine Learning,Accountant,In-office
441,B.Tech,Management,8.5,2017.0,28.0,Male,4.0,Engineer,Manufacturing,Data Analy,Leadership,Teamwork,PMP,Accountant,In-office
442,PhD,Computer,9.61,2011.0,32.0,Female,0.0,Assistant,Manufacturing,Data Analy,Communication,Teamwork,Machine Learning,Project Manager,In-office
443,BBA,Chemistry,5.28,2009.0,29.0,Male,2.0,Consultant,Finance,Machine Learning,Excel,Problem-Solving,Google Cloud,Business Analyst,In-office
444,M.Tech,Humanities,7.66,2022.0,36.0,Female,0.0,Engineer,IT,Communication,Leadership,Teamwork,Data Science,Mechanical Engineer,Remote
445,B.Tech,Mathematics,8.05,2014.0,38.0,Male,1.0,Junior Developer,Education,Machine Learning,Machine Learning,Leadership,Scrum,Researcher,In-office
446,MBA,Physics,7.53,2012.0,37.0,Male,2.0,Engineer,Finance,Python,Excel,Adaptability,Data Science,Software Engineer,Remote
447,M.Sc,Humanities,6.77,2022.0,36.0,Female,2.0,Assistant,Manufacturing,Machine Learning,Leadership,Problem-Solving,None,Accountant,Remote
448,MBA,Chemistry,9.95,2010.0,42.0,Female,5.0,Engineer,Finance,Data Analy,Excel,Leadership,AWS Certified,Project Manager,In-office
449,BBA,Chemistry,9.1,2019.0,43.0,Female,0.0,Analyst,IT,Java,Data Analy,Problem-Solving,Six Sigma,Software Engineer,In-office
450,PhD,Humanities,9.33,2021.0,43.0,Male,4.0,Intern,Finance,SQL,Machine Learning,Teamwork,PMP,Researcher,Remote
451,B.Tech,Mathematics,5.21,2012.0,25.0,Other,2.0,Assistant,Manufacturing,Machine Learning,SQL,Communication,PMP,Business Analyst,Hybrid
452,PhD,Physics,9.67,2018.0,43.0,Female,2.0,Engineer,Research,Leadership,Java,Leadership,Scrum,Software Engineer,Remote
453,BBA,Electronics,7.39,2020.0,24.0,Female,5.0,Engineer,Finance,Marketing,Marketing,Teamwork,None,Researcher,In-office
454,MBA,Computer,6.76,2015.0,40.0,Female,1.0,Consultant,Education,Marketing,Java,Adaptability,CCNA,Researcher,Remote
455,BA,Chemistry,7.16,2010.0,44.0,Male,0.0,Analyst,Manufacturing,Leadership,SQL,Leadership,Scrum,Researcher,Remote
456,B.Com,Humanities,8.07,2006.0,27.0,Male,1.0,Assistant,Manufacturing,Python,SQL,Problem-Solving,Machine Learning,Project Manager,Hybrid
457,M.Tech,Electronics,9.38,2009.0,40.0,Female,1.0,Consultant,IT,SQL,Communication,Problem-Solving,AWS Certified,Researcher,Remote
458,BBA,Management,6.33,2009.0,25.0,Male,2.0,Junior Developer,Research,Machine Learning,Machine Learning,Leadership,PMP,HR Manager,Remote
459,M.Sc,Chemistry,8.74,2011.0,34.0,Male,0.0,Intern,Research,Java,SQL,Teamwork,Machine Learning,Business Analyst,Remote
460,MBA,Marketing,5.13,2010.0,34.0,Male,3.0,Analyst,Finance,Excel,Java,Teamwork,Google Cloud,HR Manager,Hybrid
461,MBA,Electronics,7.5,2016.0,39.0,Other,5.0,Analyst,IT,SQL,Leadership,Problem-Solving,Six Sigma,Software Engineer,In-office
462,M.Tech,Electronics,7.18,2012.0,21.0,Other,2.0,Analyst,Research,Machine Learning,SQL,Problem-Solving,Scrum,Project Manager,Hybrid
463,M.Sc,Physics,7.57,2022.0,23.0,Female,4.0,Intern,IT,Excel,SQL,Adaptability,AWS Certified,Teacher,Remote
464,PhD,Computer,7.23,2011.0,25.0,Other,4.0,Engineer,Education,SQL,Excel,Communication,Scrum,HR Manager,Hybrid
465,BBA,Management,5.21,2019.0,22.0,Female,4.0,Intern,Consulting,Marketing,Excel,Adaptability,None,Software Engineer,Remote
466,PhD,Humanities,5.55,2009.0,32.0,Male,3.0,Engineer,Finance,Leadership,Java,Leadership,Scrum,Researcher,Remote
467,B.Com,Chemistry,5.72,2011.0,29.0,Other,1.0,Junior Developer,Education,Communication,Leadership,Teamwork,Data Science,Researcher,Remote
468,B.Tech,Humanities,6.74,2022.0,44.0,Female,2.0,Assistant,Education,Python,Python,Problem-Solving,CCNA,Business Analyst,Hybrid
469,PhD,Computer,8.63,2008.0,28.0,Female,0.0,Consultant,Manufacturing,Java,SQL,Leadership,AWS Certified,Accountant,Hybrid
470,BA,Physics,6.67,2015.0,30.0,Male,1.0,Engineer,Education,Machine Learning,SQL,Leadership,Machine Learning,Project Manager,Hybrid
471,B.Com,Mathematics,9.26,2008.0,26.0,Female,4.0,Assistant,Education,Communication,Machine Learning,Adaptability,Azure,Project Manager,In-office
472,B.Com,Management,5.06,2006.0,43.0,Other,5.0,Assistant,Consulting,Excel,Machine Learning,Leadership,Machine Learning,Data Analyst,In-office
473,M.Sc,Humanities,6.26,2008.0,21.0,Female,3.0,Engineer,Healthcare,Marketing,SQL,Problem-Solving,AWS Certified,Teacher,In-office
474,M.Tech,Physics,5.49,2014.0,42.0,Female,3.0,Junior Developer,Research,Leadership,SQL,Leadership,Scrum,Mechanical Engineer,In-office
475,BA,Physics,8.37,2019.0,36.0,Female,5.0,Junior Developer,Consulting,SQL,Marketing,Adaptability,Scrum,Accountant,Hybrid
476,PhD,Physics,6.04,2012.0,43.0,Other,3.0,Consultant,Finance,Machine Learning,Marketing,Problem-Solving,Data Science,Data Analyst,Remote
477,BBA,Physics,9.48,2016.0,32.0,Female,2.0,Analyst,Finance,Data Analy,Leadership,Teamwork,Machine Learning,HR Manager,Hybrid
478,BA,Electronics,7.15,2021.0,45.0,Male,1.0,Consultant,Research,Data Analy,Data Analy,Adaptability,PMP,HR Manager,Hybrid
479,M.Tech,Humanities,5.1,2020.0,45.0,Other,5.0,Consultant,Healthcare,Excel,Data Analy,Leadership,Scrum,Mechanical Engineer,Hybrid
480,M.Sc,Marketing,9.78,2006.0,22.0,Female,1.0,Intern,Education,Excel,Leadership,Communication,CCNA,Teacher,In-office
481,B.Tech,Physics,6.16,2024.0,42.0,Other,3.0,Assistant,Education,Marketing,Excel,Leadership,AWS Certified,HR Manager,Remote
482,M.Sc,Humanities,6.12,2022.0,21.0,Male,0.0,Junior Developer,Education,Marketing,Java,Adaptability,Google Cloud,Researcher,Remote
483,M.Tech,Marketing,5.36,2011.0,36.0,Male,0.0,Intern,Healthcare,Data Analy,Leadership,Problem-Solving,None,Accountant,In-office
484,M.Tech,Humanities,6.39,2023.0,34.0,Female,2.0,Analyst,Healthcare,Communication,Leadership,Adaptability,Machine Learning,Project Manager,In-office
485,BA,Mathematics,8.21,2005.0,28.0,Female,1.0,Assistant,IT,SQL,Leadership,Leadership,None,Mechanical Engineer,Hybrid
486,B.Tech,Management,9.56,2015.0,29.0,Female,1.0,Intern,Manufacturing,SQL,Marketing,Teamwork,Six Sigma,Project Manager,In-office
487,M.Tech,Marketing,5.16,2016.0,45.0,Male,3.0,Engineer,Research,Machine Learning,Communication,Communication,None,Teacher,Remote
488,B.Tech,Marketing,6.65,2007.0,38.0,Female,4.0,Engineer,Healthcare,Marketing,SQL,Communication,Machine Learning,Teacher,Hybrid
489,M.Sc,Chemistry,5.46,2018.0,42.0,Male,1.0,Engineer,Healthcare,Marketing,Communication,Teamwork,Azure,Business Analyst,Hybrid
490,BA,Marketing,5.69,2008.0,22.0,Male,0.0,Junior Developer,Consulting,Java,SQL,Communication,Data Science,Project Manager,Remote
491,B.Sc,Marketing,6.09,2010.0,45.0,Male,1.0,Intern,Research,Python,Python,Problem-Solving,Data Science,Data Analyst,Hybrid
492,MBA,Chemistry,7.29,2019.0,34.0,Other,3.0,Consultant,Healthcare,Leadership,SQL,Teamwork,CCNA,Software Engineer,Remote
493,B.Com,Mathematics,8.1,2009.0,28.0,Female,0.0,Consultant,IT,Java,Communication,Problem-Solving,Google Cloud,HR Manager,In-office
494,M.Tech,Humanities,6.23,2024.0,31.0,Other,0.0,Consultant,IT,Java,Machine Learning,Adaptability,None,Researcher,In-office
495,BBA,Marketing,8.82,2018.0,26.0,Female,3.0,Consultant,Research,Python,Data Analy,Leadership,CCNA,Software Engineer,Remote
496,M.Sc,Physics,5.91,2006.0,23.0,Male,1.0,Junior Developer,Manufacturing,Machine Learning,Machine Learning,Communication,Data Science,Accountant,Remote
497,BBA,Chemistry,9.46,2023.0,33.0,Female,3.0,Assistant,Finance,Machine Learning,SQL,Problem-Solving,Scrum,Data Analyst,Hybrid
498,BBA,Physics,9.41,2006.0,30.0,Female,3.0,Assistant,Finance,Java,Leadership,Leadership,PMP,Project Manager,Remote
499,B.Com,Mathematics,9.77,2015.0,33.0,Female,1.0,Engineer,IT,Data Analy,Excel,Leadership,Azure,Teacher,Hybrid
500,B.Tech,Physics,9.32,2010.0,32.0,Male,3.0,Analyst,Consulting,Communication,Excel,Teamwork,CCNA,Business Analyst,In-office
501,PhD,Mathematics,8.64,2016.0,45.0,Other,4.0,Intern,Finance,Data Analy,Communication,Leadership,CCNA,HR Manager,Remote
502,BBA,Electronics,6.16,2017.0,42.0,Other,1.0,Analyst,Education,Python,Java,Communication,Scrum,Project Manager,Hybrid
503,B.Com,Physics,8.67,2016.0,39.0,Other,0.0,Intern,IT,Leadership,Machine Learning,Leadership,CCNA,Mechanical Engineer,Remote
504,BBA,Management,8.53,2023.0,27.0,Female,2.0,Assistant,Manufacturing,Python,Excel,Leadership,Six Sigma,Business Analyst,Remote
505,MBA,Humanities,8.82,2017.0,25.0,Female,0.0,Analyst,Manufacturing,SQL,Java,Leadership,Six Sigma,Data Analyst,Remote
506,B.Sc,Management,7.17,2007.0,40.0,Other,1.0,Analyst,Consulting,Leadership,Java,Communication,Azure,Data Analyst,Hybrid
507,MBA,Computer,5.91,2006.0,28.0,Female,1.0,Consultant,Consulting,Excel,Leadership,Leadership,Data Science,Software Engineer,In-office
508,M.Tech,Electronics,9.04,2022.0,27.0,Other,1.0,Analyst,Research,Marketing,Leadership,Leadership,Google Cloud,Teacher,In-office
509,MBA,Physics,7.62,2016.0,44.0,Other,0.0,Junior Developer,Healthcare,Python,Machine Learning,Problem-Solving,Azure,Business Analyst,Remote
510,M.Sc,Physics,6.59,2008.0,35.0,Female,0.0,Intern,IT,Communication,Marketing,Communication,Google Cloud,HR Manager,Remote
511,B.Sc,Physics,6.05,2014.0,34.0,Other,2.0,Intern,Manufacturing,Excel,Excel,Teamwork,Google Cloud,Accountant,Remote
512,BA,Physics,6.91,2008.0,41.0,Other,4.0,Consultant,Manufacturing,Leadership,Leadership,Problem-Solving,None,Software Engineer,In-office
513,PhD,Mathematics,9.92,2010.0,38.0,Male,2.0,Intern,Manufacturing,Data Analy,Communication,Teamwork,Scrum,Data Analyst,Remote
514,B.Com,Physics,6.72,2024.0,44.0,Other,2.0,Analyst,Healthcare,SQL,Machine Learning,Adaptability,Google Cloud,HR Manager,Remote
515,M.Sc,Electronics,7.62,2023.0,25.0,Female,2.0,Consultant,Healthcare,Java,Java,Leadership,Data Science,Researcher,Remote
516,B.Tech,Computer,8.31,2016.0,21.0,Other,2.0,Junior Developer,Healthcare,Data Analy,Excel,Teamwork,Six Sigma,Teacher,Hybrid
517,M.Tech,Electronics,9.88,2018.0,29.0,Other,2.0,Consultant,IT,Excel,Excel,Leadership,Six Sigma,Teacher,Remote
518,M.Sc,Marketing,8.06,2019.0,41.0,Male,4.0,Assistant,Education,Data Analy,Excel,Teamwork,None,Project Manager,Hybrid
519,M.Sc,Chemistry,6.86,2020.0,32.0,Female,3.0,Consultant,Finance,Communication,Leadership,Communication,Azure,Researcher,In-office
520,BA,Chemistry,7.25,2011.0,28.0,Female,1.0,Junior Developer,Finance,Leadership,Excel,Problem-Solving,Six Sigma,Data Analyst,In-office
521,MBA,Chemistry,5.26,2012.0,36.0,Female,4.0,Assistant,Healthcare,Marketing,Java,Adaptability,Google Cloud,Teacher,In-office
522,B.Tech,Management,7.97,2015.0,33.0,Male,5.0,Assistant,Research,Java,Java,Adaptability,Machine Learning,Mechanical Engineer,Remote
523,M.Sc,Management,7.43,2013.0,35.0,Female,5.0,Assistant,Manufacturing,Leadership,Marketing,Adaptability,CCNA,HR Manager,In-office
524,M.Tech,Marketing,9.56,2006.0,44.0,Female,5.0,Consultant,Consulting,Leadership,Python,Adaptability,PMP,Data Analyst,Hybrid
525,B.Tech,Management,5.17,2010.0,27.0,Female,1.0,Consultant,Research,Machine Learning,Data Analy,Leadership,Data Science,Researcher,In-office
526,M.Sc,Computer,9.63,2015.0,30.0,Male,4.0,Analyst,IT,Excel,Marketing,Leadership,Google Cloud,Software Engineer,Hybrid
527,M.Tech,Computer,9.6,2011.0,38.0,Female,4.0,Junior Developer,Manufacturing,Communication,SQL,Leadership,Six Sigma,Project Manager,Hybrid
528,M.Tech,Electronics,9.9,2019.0,23.0,Female,5.0,Analyst,Healthcare,Excel,Machine Learning,Teamwork,Scrum,HR Manager,In-office
529,B.Tech,Physics,7.1,2010.0,45.0,Other,0.0,Intern,Manufacturing,Marketing,Machine Learning,Problem-Solving,PMP,Teacher,Remote
530,MBA,Marketing,6.66,2005.0,44.0,Female,5.0,Intern,Education,Leadership,Excel,Leadership,None,Researcher,Hybrid
531,MBA,Management,5.08,2022.0,29.0,Other,4.0,Consultant,Manufacturing,Excel,SQL,Adaptability,Scrum,Software Engineer,Hybrid
532,B.Com,Management,7.24,2012.0,25.0,Other,5.0,Consultant,Education,Excel,Excel,Problem-Solving,Scrum,Mechanical Engineer,In-office
533,B.Tech,Management,8.44,2008.0,37.0,Female,0.0,Assistant,IT,Machine Learning,Data Analy,Adaptability,Data Science,Teacher,Hybrid
534,M.Tech,Physics,9.75,2007.0,41.0,Female,5.0,Junior Developer,Finance,Java,Communication,Communication,AWS Certified,Accountant,Hybrid
535,M.Tech,Management,6.0,2016.0,29.0,Female,2.0,Assistant,Healthcare,Machine Learning,Python,Communication,Six Sigma,Software Engineer,Hybrid
536,BBA,Mathematics,8.68,2008.0,24.0,Other,0.0,Assistant,Education,Python,Excel,Problem-Solving,PMP,Project Manager,Remote
537,BA,Marketing,9.04,2021.0,36.0,Other,5.0,Junior Developer,Consulting,Marketing,Marketing,Leadership,CCNA,Teacher,Hybrid
538,BA,Chemistry,5.44,2021.0,42.0,Female,4.0,Consultant,Manufacturing,Java,Java,Leadership,Data Science,Accountant,Remote
539,B.Com,Chemistry,5.63,2018.0,31.0,Female,3.0,Intern,IT,Data Analy,Leadership,Teamwork,Scrum,HR Manager,In-office
540,B.Tech,Computer,8.46,2010.0,37.0,Female,5.0,Analyst,Healthcare,Python,Communication,Leadership,Data Science,HR Manager,In-office
541,B.Com,Marketing,8.04,2015.0,32.0,Male,2.0,Engineer,IT,Leadership,Marketing,Problem-Solving,Data Science,Business Analyst,In-office
542,PhD,Humanities,9.46,2021.0,30.0,Female,2.0,Analyst,Research,Communication,Python,Communication,Data Science,Project Manager,In-office
543,PhD,Management,8.84,2023.0,41.0,Other,2.0,Consultant,Manufacturing,Java,Marketing,Communication,Scrum,Business Analyst,Remote
544,PhD,Mathematics,8.85,2024.0,31.0,Other,2.0,Junior Developer,Consulting,Python,Excel,Teamwork,Azure,Teacher,Remote
545,BBA,Marketing,8.84,2005.0,42.0,Male,4.0,Consultant,Education,Communication,Data Analy,Problem-Solving,Google Cloud,Project Manager,Remote
546,BBA,Computer,9.0,2016.0,23.0,Female,1.0,Consultant,IT,SQL,Machine Learning,Teamwork,Azure,Researcher,Remote
547,B.Tech,Chemistry,6.34,2007.0,24.0,Female,5.0,Assistant,Research,Leadership,Java,Problem-Solving,PMP,Mechanical Engineer,In-office
548,M.Sc,Physics,8.74,2020.0,35.0,Other,2.0,Consultant,Research,Java,Python,Problem-Solving,Google Cloud,Business Analyst,Remote
549,M.Tech,Chemistry,6.03,2009.0,26.0,Male,2.0,Engineer,Healthcare,SQL,Machine Learning,Teamwork,Azure,Business Analyst,In-office
550,PhD,Electronics,9.13,2019.0,25.0,Other,5.0,Intern,Manufacturing,Marketing,Python,Adaptability,Google Cloud,Researcher,Hybrid
551,B.Com,Electronics,8.67,2019.0,27.0,Female,4.0,Consultant,Finance,Communication,SQL,Leadership,Scrum,Project Manager,Hybrid
552,MBA,Mathematics,8.21,2012.0,42.0,Female,2.0,Analyst,IT,Marketing,Excel,Teamwork,PMP,HR Manager,In-office
553,B.Tech,Humanities,5.1,2022.0,29.0,Male,1.0,Engineer,Consulting,Java,Python,Communication,Machine Learning,Researcher,In-office
554,M.Sc,Physics,6.54,2005.0,22.0,Female,0.0,Intern,Manufacturing,Machine Learning,Machine Learning,Problem-Solving,Machine Learning,Researcher,Remote
555,BBA,Humanities,7.33,2018.0,30.0,Other,2.0,Consultant,Education,SQL,Communication,Teamwork,CCNA,Researcher,Remote
556,B.Com,Management,8.24,2005.0,38.0,Female,0.0,Analyst,Manufacturing,Python,Communication,Adaptability,Google Cloud,Accountant,Remote
557,B.Com,Humanities,7.75,2021.0,43.0,Other,2.0,Junior Developer,Education,SQL,Leadership,Teamwork,None,Teacher,Remote
558,B.Com,Marketing,8.68,2012.0,27.0,Male,5.0,Intern,Manufacturing,Leadership,Excel,Leadership,PMP,HR Manager,Remote
559,B.Tech,Physics,8.29,2015.0,29.0,Female,1.0,Assistant,Research,Python,Python,Adaptability,Data Science,Business Analyst,Hybrid
560,BBA,Physics,7.61,2020.0,41.0,Other,5.0,Junior Developer,Healthcare,Leadership,SQL,Problem-Solving,AWS Certified,Mechanical Engineer,In-office
561,BBA,Management,7.4,2005.0,44.0,Male,4.0,Analyst,IT,Communication,Python,Leadership,Azure,Software Engineer,In-office
562,PhD,Marketing,9.45,2009.0,25.0,Other,2.0,Consultant,Manufacturing,Python,Communication,Communication,None,Researcher,In-office
563,BA,Marketing,8.14,2009.0,40.0,Other,1.0,Junior Developer,Finance,Communication,Java,Teamwork,Machine Learning,Teacher,In-office
564,B.Sc,Chemistry,6.87,2018.0,34.0,Male,5.0,Intern,Education,Leadership,Data Analy,Adaptability,None,Data Analyst,Hybrid
565,B.Sc,Electronics,8.12,2015.0,32.0,Female,2.0,Intern,IT,Python,Leadership,Communication,Data Science,Project Manager,In-office
566,B.Com,Computer,5.23,2011.0,21.0,Male,3.0,Analyst,Manufacturing,Machine Learning,Machine Learning,Teamwork,Scrum,Data Analyst,Remote
567,B.Com,Electronics,9.16,2006.0,22.0,Male,0.0,Assistant,Healthcare,Java,Machine Learning,Communication,Machine Learning,HR Manager,Hybrid
568,M.Sc,Physics,7.6,2021.0,26.0,Male,0.0,Intern,Education,Python,Excel,Teamwork,None,Researcher,In-office
569,MBA,Humanities,9.1,2008.0,36.0,Male,3.0,Junior Developer,Research,Machine Learning,Data Analy,Communication,Six Sigma,Data Analyst,Hybrid
570,PhD,Marketing,7.0,2024.0,42.0,Other,1.0,Junior Developer,Research,Marketing,Machine Learning,Problem-Solving,PMP,Accountant,Hybrid
571,BBA,Chemistry,6.49,2018.0,38.0,Female,4.0,Intern,Finance,Data Analy,Leadership,Teamwork,Scrum,Data Analyst,In-office
572,MBA,Computer,7.52,2011.0,27.0,Other,0.0,Junior Developer,Education,Communication,Python,Teamwork,Machine Learning,Project Manager,Remote
573,PhD,Management,6.91,2020.0,44.0,Other,4.0,Analyst,Manufacturing,Communication,Leadership,Communication,Six Sigma,Researcher,Hybrid
